adwaita-icon-theme-3.18.0      GNOME Symbolic Icons
font-adobe-75dpi-1.0.3_3       X.Org Adobe 75dpi font
font-adobe-utopia-100dpi-1.0.4_3 X.Org Adobe Utopia 100dpi font
font-adobe-utopia-75dpi-1.0.4_3 X.Org Adobe Utopia 75dpi font
font-adobe-utopia-type1-1.0.4_3 X.Org Adobe Utopia Type1 font
font-alias-1.0.3_3             X.Org Font aliases
font-arabic-misc-1.0.3_3       X.Org miscellaneous Arabic fonts
font-bh-100dpi-1.0.3_3         X.Org Bigelow Holmes 100dpi font
font-bh-75dpi-1.0.3_3          X.Org Bigelow Holmes 75dpi font
font-bh-lucidatypewriter-100dpi-1.0.3_3 X.Org Bigelow Holmes Lucida TypeWriter 100dpi font
font-bh-lucidatypewriter-75dpi-1.0.3_3 X.Org Bigelow Holmes Lucida TypeWriter 75dpi font
font-bh-ttf-1.0.3_3            X.Org Bigelow & Holmes TTF font
font-bh-type1-1.0.3_3          X.Org Bigelow Holmes Type1 font
font-bitstream-100dpi-1.0.3_3  X.Org Bitstream Vera 100dpi font
font-bitstream-75dpi-1.0.3_3   X.Org Bitstream Vera 75dpi font
font-bitstream-type1-1.0.3_3   X.Org Bitstream Vera Type1 font
font-cronyx-cyrillic-1.0.3_3   X.Org Cronyx Cyrillic font
font-cursor-misc-1.0.3_3       X.Org miscellaneous Cursor fonts
font-daewoo-misc-1.0.3_3       X.Org miscellaneous Daewoo fonts
font-dec-misc-1.0.3_3          X.Org miscellaneous Dec fonts
font-ibm-type1-1.0.3_3         X.Org IBM Type1 font
font-isas-misc-1.0.3_3         X.Org miscellaneous ISAS fonts
font-jis-misc-1.0.3_3          X.Org miscellaneous JIS fonts
font-micro-misc-1.0.3_3        X.Org miscellaneous Micro fonts
font-misc-cyrillic-1.0.3_3     X.Org miscellaneous Cyrillic font
font-misc-ethiopic-1.0.3_3     X.Org miscellaneous Ethiopic font
font-misc-meltho-1.0.3_3       X.Org miscellaneous Meltho font
font-misc-misc-1.1.2_3         X.Org miscellaneous Misc fonts
font-mutt-misc-1.0.3_3         X.Org miscellaneous Mutt fonts
font-schumacher-misc-1.1.2_3   X.Org miscellaneous Schumacher fonts
font-screen-cyrillic-1.0.4_3   X.Org Screen Cyrillic font
font-sony-misc-1.0.3_3         X.Org miscellaneous Sony fonts
font-sun-misc-1.0.3_3          X.Org miscellaneous Sun fonts
font-util-1.3.1                Create an index of X font files in a directory
font-winitzki-cyrillic-1.0.3_3 X.Org Winitzki Cyrillic font
font-xfree86-type1-1.0.4_3     X.Org XFree86 Type1 font
fontcacheproto-0.1.3           Fontcache extension headers
fontconfig-2.12.1,1            XML-based font configuration API for X Windows
fontsproto-2.1.3,1             Fonts extension headers
freefonts-0.10_8               Collection of ATM fonts (not all free) from the CICA archives
freetype2-2.6.3                Free and portable TrueType font rendering engine
gbm-11.2.2                     gbm library
gdbm-1.12                      GNU database manager
gdk-pixbuf2-2.32.3_1           Graphic library for GTK+
getopt-1.1.6                   Replacement for getopt(1) that supports GNU-style long options
gettext-runtime-0.19.8.1       GNU gettext runtime libraries and programs
gettext-tools-0.19.8.1         GNU gettext development and translation tools
giflib-5.1.4                   Tools and library routines for working with GIF images
glib-2.46.2_3                  Some useful routines of C programming (current stable version)
glproto-1.4.17                 GLX extension headers
gmake-4.2.1_1                  GNU version of 'make' utility
gmp-5.1.3_3                    Free library for arbitrary precision arithmetic
gnome_subr-1.0                 Common startup and shutdown subroutines used by GNOME scripts
gnutls-3.4.16                  GNU Transport Layer Security library
gobject-introspection-1.46.0   Generate interface introspection data for GObject libraries
graphite2-1.3.8                Rendering capabilities for complex non-Roman writing systems
gtk-update-icon-cache-2.24.29  Gtk-update-icon-cache utility from the Gtk+ toolkit
gtk2-2.24.29_2                 Gimp Toolkit for X11 GUI (previous stable version)
gtk3-3.18.8_3                  Gimp Toolkit for X11 GUI (current stable version)
hal-0.5.14_31                  Hardware Abstraction Layer for simplifying device access
harfbuzz-1.3.2                 OpenType text shaping engine
help2man-1.43.3_1              Automatically generating simple manual pages from program output
hicolor-icon-theme-0.15        High-color icon theme shell from the FreeDesktop project
hunspell-1.3.3                 Improved spell-checker for Hungarian and other languages
iceauth-1.0.7                  ICE authority file utility for X
icu-57.1,1                     International Components for Unicode (from IBM)
imlib2-1.4.9,2                 The next generation graphics library for Enlightenment
indexinfo-0.2.6                Utility to regenerate the GNU info page index
inputproto-2.3.1               Input extension headers
intltool-0.51.0_1              Tools to internationalize various kinds of data files
iso8879-1986_3                 Character entity sets from ISO 8879:1986 (SGML)
jasper-1.900.1_16              Implementation of the codec specified in the JPEG-2000 standard
jbigkit-2.1_1                  Lossless compression for bi-level images such as scanned pages, faxes
jpeg-turbo-1.5.1               SIMD-accelerated JPEG codec which replaces libjpeg
jsoncpp-1.7.7                  JSON reader and writer library for C++
kbproto-1.0.7                  KB extension headers
lcms2-2.7_2                    Accurate, fast, and small-footprint color management engine
libEGL-11.2.2                  OpenEGL library
libFS-1.0.7                    The FS library
libGL-11.2.2                   OpenGL library that renders using GLX or DRI
libICE-1.0.9_1,1               Inter Client Exchange library for X11
libSM-1.2.2_3,1                Session Management library for X11
libX11-1.6.4,1                 X11 library
libXScrnSaver-1.2.2_3          The XScrnSaver library
libXTrap-1.0.1_3               The XTrap library
libXau-1.0.8_3                 Authentication Protocol library for X11
libXaw-1.0.13,2                X Athena Widgets library
libXcomposite-0.4.4_3,1        X Composite extension library
libXcursor-1.1.14_3            X client-side cursor loading library
libXdamage-1.1.4_3             X Damage extension library
libXdmcp-1.1.2                 X Display Manager Control Protocol library
libXevie-1.0.3_3               The Xevie library
libXext-1.3.3_1,1              X11 Extension library
libXfixes-5.0.3                X Fixes extension library
libXfont-1.5.1,2               X font library
libXfontcache-1.0.5_3          The Xfontcache library
libXft-2.3.2_1                 Client-sided font API for X applications
libXi-1.7.7,1                  X Input extension library
libXinerama-1.1.3_3,1          X11 Xinerama library
libXmu-1.1.2_3,1               X Miscellaneous Utilities libraries
libXp-1.0.3,1                  X print library
libXpm-3.5.11_4                X Pixmap library
libXrandr-1.5.1                X Resize and Rotate extension library
libXrender-0.9.10              X Render extension library
libXres-1.0.7_3                X Resource usage library
libXt-1.1.5,1                  X Toolkit library
libXtst-1.2.3                  X Test extension
libXv-1.0.11,1                 X Video Extension library
libXvMC-1.0.10                 X Video Extension Motion Compensation library
libXxf86dga-1.1.4_3            X DGA Extension
libXxf86misc-1.0.3_3           X XF86-Misc Extension
libXxf86vm-1.1.4_1             X Vidmode Extension
libarchive-3.2.2,1             Library to create and read several streaming archive formats
libatomic_ops-7.4.4            Atomic operations access library
libcroco-0.6.11                CSS2 parsing library
libdaemon-0.14_1               Lightweight C library that eases the writing of UNIX daemons
libdevq-0.0.2_1                Generic Device Query and Monitor interface
libdmx-1.1.3_3                 DMX extension library
libdrm-2.4.66,1                Userspace interface to kernel Direct Rendering Module services
libedit-3.1.20150325_2,1       Command line editor library
libepoxy-1.3.1                 Library to handle OpenGL function pointer management
libevent2-2.0.22_1             API for executing callback functions on events or timeouts
libffi-3.2.1                   Foreign Function Interface
libfontenc-1.1.3               The fontenc Library
libgcrypt-1.7.3                General purpose crypto library based on code used in GnuPG
libglapi-11.2.2                Common GL api library used by Mesa based ports
libglesv2-11.2.2               OpenGL ES v2 library
libgpg-error-1.24              Common error values for all GnuPG components
libgsf-1.14.36                 Extensible I/O abstraction for dealing with structured file formats
libiconv-1.14_9                Character set conversion library
libid3tag-0.15.1b_1            ID3 tags library (part of MAD project)
libidn-1.33_1                  Internationalized Domain Names command line tool
liblz4-131                     LZ4 compression library, lossless and very fast
libogg-1.3.2_1,4               Ogg bitstream library
liboldX-1.0.1_3                Old X library
libpaper-1.1.24.4              Library providing routines for paper size management
libpciaccess-0.13.4            Generic PCI access library
libpthread-stubs-0.3_6         This library provides weak aliases for pthread functions
librsvg2-2.40.16               Library for parsing and rendering SVG vector-graphic files
libssh2-1.7.0,2                Library implementing the SSH2 protocol
libtasn1-4.9                   ASN.1 structure parser library
libtheora-1.1.1_6              Theora video codec for the Ogg multimedia streaming system
libv4l-1.6.3_2                 Video4Linux library
libva-1.7.2                    VAAPI wrapper and dummy driver
libvdpau-1.1.1                 VDPAU wrapper and tracing library
libvolume_id-0.81.1            Library to provide file system type information
libvorbis-1.3.5,3              Audio compression codec library
libvpx-1.6.0                   VP8/VP9 Codec SDK
libx264-0.148.2708             H.264/MPEG-4 AVC Video Encoding (Library)
libxcb-1.11.1                  The X protocol C-language Binding (XCB) library
libxkbfile-1.0.9               XKB file library
libxkbui-1.0.2_4               The xkbui library
libxml2-2.9.4                  XML parser library for GNOME
libxshmfence-1.2               Shared memory 'SyncFence' synchronization primitive
libxslt-1.1.29                 The XSLT C library for GNOME
llvm37-3.7.1_4                 LLVM and Clang
lua51-5.1.5_9                  Small, compilable scripting language providing easy access to C code
luit-1.1.1_1                   Locale and ISO 2022 support for Unicode terminals
lzo2-2.09                      Portable speedy, lossless data compression library
m4-1.4.17_1,1                  GNU m4
makedepend-1.0.5,1             Dependency generator for makefiles
mkfontdir-1.0.7                Create an index of X font files in a directory
mkfontscale-1.1.2              Creates an index of scalable font files for X
mpfr-3.1.5                     Library for multiple-precision floating-point computations
nettle-3.2                     Low-level cryptographic library
nspr-4.13.1                    Platform-neutral API for system level and libc like functions
nss-3.27.1_1                   Libraries to support development of security-enabled applications
openbox-3.6_1                  Small, fast, standards compliant, extensible window manager
opencv2-core-2.4.13.1_1        Open Source Computer Vision library
orc-0.4.25                     Library and toolset to operate arrays of data
p11-kit-0.23.2                 Library for loading and enumerating of PKCS#11 modules
p5-Locale-gettext-1.06         Message handling functions
p5-XML-Parser-2.44             Perl extension interface to James Clark's XML parser, expat
p5-type1inst-0.6.1_5           Script that helps install Postscript fonts in X Window System
pango-1.38.0_1                 Open-source framework for the layout and rendering of i18n text
pciids-20160621                Database of all known IDs used in PCI devices
pcre-8.39                      Perl Compatible Regular Expressions library
perl5-5.20.3_15                Practical Extraction and Report Language
pixman-0.34.0                  Low-level pixel manipulation library
pkg-1.9.1                      Package manager
pkgconf-1.0.2                  Utility to help to configure compiler and linker flags
png-1.6.25                     Library for manipulating PNG images
policykit-0.9_10               Framework for controlling access to system-wide components
polkit-0.113_1                 Framework for controlling access to system-wide components
portmaster-3.17.9_4            Manage your ports without external databases or languages
presentproto-1.0               Present protocol specification
printproto-1.0.5               Print extension headers
py27-Babel-2.3.4               Collection of tools for internationalizing Python applications
py27-Jinja2-2.8                Fast and easy to use stand-alone template engine
py27-MarkupSafe-0.23           Implements XML/HTML/XHTML Markup safe string for Python
py27-alabaster-0.7.6           Modified Kr Sphinx theme
py27-docutils-0.12             Python Documentation Utilities
py27-imagesize-0.7.1           Python image size library
py27-pygments-2.1.3            Syntax highlighter written in Python
py27-pystemmer-1.3.0_1         Snowball Stemming Algorithms for Information Retrieval
py27-pytz-2016.7,1             World Timezone Definitions for Python
py27-setuptools27-28.1.0       Python packages installer
py27-six-1.10.0                Python 2 and 3 compatibility utilities
py27-snowballstemmer-1.2.0_1   Snowball stemming library collection for Python
py27-sphinx-1.4.6_1            Python documentation generator
py27-sphinx_rtd_theme-0.1.9    Mobile-friendly py-sphinx theme
python-2.7_2,2                 The "meta-port" for the default version of Python interpreter
python2-2_3                    The "meta-port" for version 2 of the Python interpreter
python27-2.7.12                Interpreted object-oriented programming language
randrproto-1.5.0               Randr extension headers
readline-6.3.8                 Library for editing command lines as they are typed
recordproto-1.14.2             RECORD extension headers
renderproto-0.11.1             RenderProto protocol headers
resourceproto-1.2.0            Resource extension headers
samba36-libsmbclient-3.6.25_2  Shared lib from the samba package
schroedinger-1.0.11_4          High-speed Dirac codec
scons-2.5.0                    Build tool alternative to make
scrnsaverproto-1.2.2           ScrnSaver extension headers
sdocbook-xml-1.1_2,2           "Simplified" DocBook XML DTD
serf-1.3.9_1                   Serf HTTP client library
sessreg-1.1.0                  Manage utmp/wtmp entries for non-init X clients
setxkbmap-1.3.1                Set the keyboard using the X Keyboard Extension
shared-mime-info-1.5           MIME types database from the freedesktop.org project
smproxy-1.0.6                  Session Manager Proxy
soundtouch-1.9.2               Open-source audio processing library
spidermonkey170-17.0.0_2       Standalone JavaScript based from Mozilla 17-esr
sqlite3-3.14.1_1               SQL database engine in a C library
startup-notification-0.12_4    Library that supports startup notification spec from freedesktop.org
subversion-1.9.4               Version control system
talloc-2.1.6                   Hierarchical pool based memory allocator
tcl86-8.6.6                    Tool Command Language
tdb-1.3.9,1                    Trivial Database
tevent-0.9.28                  Talloc based event loop library
texinfo-6.1.20160425,1         Typeset documentation system with multiple format output
tiff-4.0.6_2                   Tools and library routines for working with TIFF images
tint2-0.12.11                  Lightweight freedesktop-compliant panel/taskbar/systray/clock
tpm-emulator-0.7.4_1           Trusted Platform Module (TPM) emulator
trapproto-3.4.3                DEC-XTRAP extension headers
trousers-0.3.13_1              Open-source TCG Software Stack
twm-1.0.9                      Tab Window Manager for the X Window System
unzip-6.0_7                    List, test, and extract compressed files from a ZIP archive
urwfonts-1.0_7                 Another font package for X
v4l_compat-1.6.3               Video4Linux IOCTL header files
videoproto-2.3.2               Video extension headers
wcmcommander-0.20.0_1          Multi-platform open source file manager
x11perf-1.6.0                  X11 server performance test program
xauth-1.0.9_1                  X authority file utility
xbacklight-1.2.1_1             Program to adjust backlight brightness
xbitmaps-1.1.1                 X.Org bitmaps data
xcalc-1.0.6_2                  Scientific calculator for X
xcb-util-0.4.0_1,1             Module with libxcb/libX11 extension/replacement libraries
xcb-util-renderutil-0.3.9_1    Convenience functions for the Render extension
xclock-1.0.7_1                 Analog and digital clock for X
xcmiscproto-1.2.2              XCMisc extension headers
xcmsdb-1.0.5                   Device Color Characterization utility for X
xconsole-1.0.6_1               Monitor system console messages with X
xcursor-themes-1.0.4_1         X.org cursors themes
xcursorgen-1.0.6_1             Create an X cursor file from a collection of PNG images
xdm-1.1.11_6                   X.Org X display manager
xdpyinfo-1.3.2                 Display information utility for X
xdriinfo-1.0.5                 Query configuration information of DRI drivers
xev-1.2.2                      Print contents of X events
xextproto-7.3.0                XExt extension headers
xf86-input-joystick-1.6.2_4    X.Org joystick input driver
xf86-input-keyboard-1.8.1      X.Org keyboard input driver
xf86-input-mouse-1.9.1_1       X.Org mouse input driver
xf86-input-mutouch-1.3.0_4     X.Org mutouch input driver
xf86-input-synaptics-1.8.2_1   X.Org synaptics input driver
xf86-input-vmmouse-13.1.0      X.Org vmmouse input driver
xf86-video-ati-7.5.0_3         X.Org ati display driver
xf86-video-intel-2.21.15_9     Driver for Intel integrated graphics chipsets
xf86-video-mach64-6.9.5        X.Org mach64 display driver
xf86-video-nv-2.1.20_7         X.Org nv display driver
xf86-video-openchrome-0.3.3_6  X.Org openChrome display driver
xf86-video-r128-6.10.0         X.Org r128 display driver
xf86-video-vesa-2.3.4          X.Org vesa display driver
xf86bigfontproto-1.2.0         XFree86-Bigfont extension headers
xf86dga-1.0.3_1                Test program for the XFree86-DGA extension
xf86dgaproto-2.1               XFree86-DGA extension headers
xf86driproto-2.1.1             XFree86-DRI extension headers
xf86miscproto-0.9.3            XFree86-Misc extension headers
xf86vidmodeproto-2.3.1         XFree86-VidModeExtension extension headers
xgamma-1.0.6                   Gamma correction through the X server
xgc-1.0.5                      X graphics demo
xhost-1.0.7                    Server access control program for X
xineramaproto-1.2.1            Xinerama extension headers
xinit-1.3.4,1                  X Window System initializer
xinput-1.6.2                   Very useful utility for configuring and testing XInput devices
xkbcomp-1.3.1                  Compile XKB keyboard description
xkbevd-1.1.4                   XKB event daemon
xkbutils-1.0.4                 XKB utility demos
xkeyboard-config-2.17          X Keyboard Configuration Database
xkill-1.0.4                    Utility for killing a client by its X resource
xlsatoms-1.1.2                 List interned atoms defined on a server
xlsclients-1.1.3               List client applications running on a display
xmessage-1.0.4                 Display message or query in a X window
xmlcatmgr-2.2_2                SGML and XML catalog manager
xmlcharent-0.3_2               XML character entities
xmodmap-1.0.9                  Utility for modifying keymaps and pointer button mappings in X
xorg-7.7_2                     X.Org complete distribution metaport
xorg-apps-7.7_2                X.org apps meta-port
xorg-docs-1.7.1,1              X.org documentation files
xorg-drivers-7.7_3             X.org drivers meta-port
xorg-fonts-7.7_1               X.org fonts meta-port
xorg-fonts-100dpi-7.7          X.Org 100dpi bitmap fonts
xorg-fonts-75dpi-7.7           X.Org 75dpi bitmap fonts
xorg-fonts-cyrillic-7.7        X.Org Cyrillic bitmap fonts
xorg-fonts-miscbitmaps-7.7     X.Org miscellaneous bitmap fonts
xorg-fonts-truetype-7.7_1      X.Org TrueType fonts
xorg-fonts-type1-7.7           X.Org Type1 fonts
xorg-libraries-7.7_2           X.org libraries meta-port
xorg-macros-1.19.0             X.Org development aclocal macros
xorg-server-1.17.4,1           X.Org X server and related programs
xpr-1.0.4                      Utility for printing an X window dump
xprop-1.2.2                    Property displayer for X
xproto-7.0.28                  X11 protocol headers
xrandr-1.4.3                   Primitive command line interface to the RandR extension
xrdb-1.1.0                     X server resource database utility
xrefresh-1.0.5                 Refresh all or part of an X screen
xset-1.2.3_1                   User preference utility for X
xsetmode-1.0.0                 Set the mode for an X Input Device
xsetroot-1.1.1                 Root window parameter setting utility for X
xterm-327                      Terminal emulator for the X Window System
xtrans-1.3.5                   Abstract network code for X
xvid-1.3.4,1                   Opensource MPEG-4 codec, based on OpenDivx
xvinfo-1.1.3                   Print out X-Video extension adaptor information
xwd-1.0.6                      Dump an image of an X window
xwininfo-1.1.3_1               Window information utility for X
xwud-1.0.4                     Image displayer for X
zip-3.0_1                      Create/update ZIP files compatible with PKZIP
